postcodes_id,zone_id,postcode_range_start,postcode_range_end,postcode_name,status
201,12,WC2B,WC2B,WC2B,1
202,12,WC2E,WC2E,WC2E,1
203,12,WC2H,WC2H,WC2H,1
204,12,WC2R,WC2R,WC2R,1
205,12,EC1A,EC1A,EC1A,1
206,12,EC1M,EC1M,EC1M,1
207,12,EC1N,EC1N,EC1N,1
208,12,EC1R,EC1R,EC1R,1
209,12,EC1V,EC1V,EC1V,1
210,12,EC1Y,EC1Y,EC1Y,1
211,12,EC2A,EC2A,EC2A,1
212,12,EC2M,EC2M,EC2M,1
213,12,EC2N,EC2N,EC2N,1
214,12,EC2R,EC2R,EC2R,1
215,12,EC2V,EC2V,EC2V,1
216,12,EC2Y,EC2Y,EC2Y,1
217,12,EC3A,EC3A,EC3A,1
218,12,EC3V,EC3V,EC3V,1
219,12,EC4A,EC4A,EC4A,1
220,12,EC4M,EC4M,EC4M,1
221,12,EC4N,EC4N,EC4N,1
222,12,EC4R,EC4R,EC4R,1
223,12,EC4V,EC4V,EC4V,1
224,12,EC4Y,EC4Y,EC4Y,1
225,12,SE11,SE11,SE11,1
226,12,RM2,RM2,RM2,1
227,12,RM1,RM1,RM1,1
228,13,WC1,WC1,WC1,1
229,13,WC2,WC2,WC2,1
230,13,EC1,EC1,EC1,1
231,13,EC2,EC2,EC2,1
232,13,EC3,EC3,EC3,1
233,13,EC4,EC4,EC4,1
234,13,SW1A,SW1A,SW1A,1
235,13,SW1E,SW1E,SW1E,1
236,13,SW1H,SW1H,SW1H,1
237,13,SW1P,SW1P,SW1P,1
238,13,SW1V,SW1V,SW1V,1
239,13,SW1W,SW1W,SW1W,1
240,13,SW1X,SW1X,SW1X,1
241,13,SW1Y,SW1Y,SW1Y,1
242,13,W1B,W1B,W1B,1
243,13,W1C,W1C,W1C,1
244,13,W1D,W1D,W1D,1
245,13,W1F,W1F,W1F,1
246,13,W1G,W1G,W1G,1
247,13,W1H,W1H,W1H,1
248,13,W1J,W1J,W1J,1
249,13,W1K,W1K,W1K,1
250,13,W1S,W1S,W1S,1
251,13,W1T,W1T,W1T,1
252,13,W1U,W1U,W1U,1
253,13,W1W,W1W,W1W,1
254,13,WC1A,WC1A,WC1A,1
255,13,WC1B,WC1B,WC1B,1
256,13,WC1E,WC1E,WC1E,1
257,13,WC1H,WC1H,WC1H,1
